protein_id,pdb_path,compound_name,cid,smiles,pchembl,center_x,center_y,center_z,size_x,size_y,size_z,notes
ANDR_HUMAN,/Users/matthew/docking/protein/ANDR_HUMAN.pdb,Estriol,5756,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,9.32,26.78,2.36,4.61,22,22,22,Androgen receptor LBD
ANDR_HUMAN,/Users/matthew/docking/protein/ANDR_HUMAN.pdb,Eugenol,3314,COC1=C(C=CC(=C1)CC=C)O,4.72,26.78,2.36,4.61,22,22,22,Androgen receptor LBD
ANDR_HUMAN,/Users/matthew/docking/protein/ANDR_HUMAN.pdb,3-Hydroxyflavone,11349,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,4.63,26.78,2.36,4.61,22,22,22,Androgen receptor LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Estriol,5756,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,9.32,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Oestrone,5870,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,9.15,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Genistein,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,7.32,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Glabranin,124049,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=CC=C3)C,7.24,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Isoglabranin,480763,CC(=CCC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=CC=C3)O)C,6.4,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Apigenin,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,5.9,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Chrysin,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,5.9,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Butylparaben,7184,CCCCOC(=O)C1=CC=C(C=C1)O,5.85,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
ESR1_HUMAN,/Users/matthew/docking/protein/ESR1_HUMAN.pdb,Daidzein,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,5.75,-12.83,11.25,-8.94,22,22,22,Estrogen receptor alpha LBD
