smiles,compound_name,cas_id,cid,mw,formula,species,n_species,source,mw_calc,logp,hbd,hba,tpsa,rotbond,mol_valid,rdkit_mw,rdkit_logp,rdkit_hbd,rdkit_hba,rdkit_tpsa,rdkit_rotbond,rdkit_arom,rdkit_rings,rdkit_fsp3,rdkit_logs_esol,rdkit_gi_absorption,rdkit_bbb_proxy,rdkit_lip_violations,rdkit_is_pains,admet_status,n_targets,targets_hit,best_pchembl,best_prob,sources
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,Estriol,50-27-1,5756,288.4,C18H24O3,Punica granatum,1,KNApSAcK,288.387,2.5800000000000023,3,3,60.69,0,True,288.39,2.58,3,3,60.69,0,1,4,0.667,-3.993,High,Permeable,0,False,rdkit_local,2,Androgen Receptor (AR); Estrogen Receptor alpha (ESR1),9.32,0,ChEMBL
C[Se]CC(C(=O)O)N,Se-Methylselenocysteine,26046-90-2,147004,182.09,C4H9NO2Se,Allium sativum,1,KNApSAcK,182.081,-0.4311,2,2,63.31999999999999,3,True,182.08,-0.431,2,2,63.32,3,0,0,0.75,-0.499,High,Permeable,0,False,rdkit_local,2,HIF-1alpha (HIF1A); NF-kB1 (NFKB1),5.3,0,ChEMBL
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,Oestrone,53-16-7,5870,270.4,C18H22O2,Punica granatum,1,KNApSAcK,270.37199999999996,3.8174000000000032,1,2,37.3,0,True,270.37,3.817,1,2,37.3,0,1,4,0.611,-4.661,High,Permeable,0,False,rdkit_local,1,Estrogen Receptor alpha (ESR1),9.15,0,ChEMBL
CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)O)C,Withanolide,40326-62-3,53477765,470.6,C28H38O6,Elephantopus scaber,1,KNApSAcK,470.6060000000002,3.4954000000000027,2,6,96.36,2,True,470.61,3.495,2,6,96.36,2,0,6,0.786,-4.828,High,Non-permeable,0,False,rdkit_local,1,NF-kB1 (NFKB1),7.44,0,ChEMBL
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,Genistein,446-72-0,5280961,270.24,C15H10O5,Glycyrrhiza glabra; Punica granatum; Zingiber officinale,3,KNApSAcK,270.23999999999995,2.576800000000001,3,5,90.9,1,True,270.24,2.577,3,5,90.9,1,3,3,0.0,-5.293,High,Non-permeable,0,False,rdkit_local,1,Estrogen Receptor alpha (ESR1),7.32,0,ChEMBL
CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=CC=C3)C,Glabranin,41983-91-9,124049,324.4,C20H20O4,Glycyrrhiza glabra,1,KNApSAcK,324.37600000000003,4.313000000000003,2,4,66.76,3,True,324.38,4.313,2,4,66.76,3,2,3,0.25,-5.85,High,Permeable,0,False,rdkit_local,1,Estrogen Receptor alpha (ESR1),7.24,0,ChEMBL
CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,Gibberellin A3,77-06-5,6466,346.4,C19H22O6,Carica papaya,1,KNApSAcK,346.379,1.0270999999999997,3,5,104.06000000000002,1,True,346.38,1.027,3,5,104.06,1,0,5,0.684,-2.569,High,Non-permeable,0,False,rdkit_local,1,NF-kB1 (NFKB1),6.67,0,ChEMBL
C(CCN=C(N)N)CN,Agmatine,306-60-5,199,130.19,C5H14N4,Panax ginseng,1,KNApSAcK,130.195,-1.0012999999999992,3,2,90.42,4,True,130.19,-1.001,3,2,90.42,4,0,0,0.8,0.247,High,Non-permeable,0,False,rdkit_local,1,NF-kB1 (NFKB1),6.45,0,ChEMBL
CC(=CCC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=CC=C3)O)C,Isoglabranin,55051-77-9,480763,324.4,C20H20O4,Glycyrrhiza glabra,1,KNApSAcK,324.37600000000003,4.313000000000003,2,4,66.76,3,True,324.38,4.313,2,4,66.76,3,2,3,0.25,-5.85,High,Permeable,0,False,rdkit_local,1,Estrogen Receptor alpha (ESR1),6.4,0,ChEMBL
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Apigenin,520-36-5,5280443,270.24,C15H10O5,Allium sativum; Punica granatum,2,KNApSAcK,270.23999999999995,2.5768000000000018,3,5,90.9,1,True,270.24,2.577,3,5,90.9,1,3,3,0.0,-5.293,High,Non-permeable,0,False,rdkit_local,1,Estrogen Receptor alpha (ESR1),5.9,0,ChEMBL
